Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.819,75.108,75.237,75.313,75.329,75.364,75.506,75.72,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12027.4949768222,11539.1825063308,11658.6949915956,12173.2319860305,13037.8895772257,14368.5708796058,16173.8136329968,18204.5124043068,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.71542597,5.43839121,5.28793621,5.58143282,5.11667967,4.99094057,4.63050652,4.44609547,5.12190151,4.87493944,4.85204983,4.40662289,5.72944784,4.99196768,5.7299943,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,76.105,76.543,76.77,76.847,75.878,73.948,75.806,77.395
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7637.01489203628,7141.47507662826,2569.69963519124,3320.47775133903,4242.02099089422,5067.65342293276,5869.38028970204,7185.25155147027,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.22001076,8.37179852,7.3933115,6.89451647,7.22868252,7.61078882,7.64032793,7.83455086,9.85558891,10.23174763,10.29146862,10.1555109,10.45030594,10.03832245,9.86305332,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.8804878048781,72.9756097560976,72.8268292682927,72.8268292682927,73.0268292682927,73.0756097560976,72.8243902439025,72.8731707317073,74.8682926829268,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976,72.2780487804878,74.7658536585366,77.4658536585366
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,593.450581742282,659.588988535629,742.651118319819,882.030167695474,1130.08791444158,1557.48458908655,2041.65267068997,2962.70234594569,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8159.08720967996
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.19581175,4.64563894,7.61358786,7.17936182,6.05510139,5.8618803,5.85007095,5.49814034,9.95194912,10.36270332,10.00543404,11.3798008,12.24056244,12.32268524,9.96212864,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.939,73.044,73.135,73.236,73.223,73.415,73.498,73.642,75.54,75.62,75.88,76.019,75.406,73.655,76.226,76.353
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,20681.0230269625,20740.1325828172,21307.2482505267,21949.4859960868,23700.6319899197,24171.8371325422,24845.65848362,26736.3089444046,27441.5502144601,28440.0416881491,30082.1584226798,30645.8906024548,22759.8071750722,26749.3296093118,30975.9989121779,35718.7531191634
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21908.9968019784,19733.6510102645,20335.0960191023,23757.5898471684,30886.0500949401,34535.20727091,36658.8243476122,41128.2476618402,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.58869076,7.67391729,7.87221003,7.87659502,8.08257675,7.9648633,7.97161102,8.0517149,10.08972931,10.11242294,10.05163097,10.21285057,10.66040134,10.42525291,9.92687893,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.2951219512195,81.5414634146342
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,24487.2974685956,24430.495982841,26334.862215032,32110.1159661425,36614.2506533707,38157.37022862,40382.2078298575,46622.9622913635,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.20371342,9.26942921,9.3947649,9.5472393,9.70939922,9.62702942,9.5311327,9.53209686,10.3522625,10.38402557,10.34885597,10.48753643,11.31641102,12.15228558,11.15729332,10.87779903
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.377,66.043,66.769,67.036,67.488,67.71,68.489,68.659,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.89007497,2.774194,2.73097301,2.72699213,2.65944242,2.22960997,2.07059145,1.99422264,4.42241955,4.07396507,3.83661342,4.18188763,5.84817696,4.68526697,3.97840643,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.481,72.765,73.023,73.213,73.235,73.413,73.456,73.463,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,24940.0775086078,25371.9237667614,26781.6195938652,26429.1247787663,26650.2934234303,28602.4181869995,29184.7865087908,30051.8489587756,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.80487037,3.92440891,3.81251931,4.01998568,4.04628181,4.03196478,4.30935764,4.49598694,5.71206808,6.75126934,6.02687502,5.86800623,7.59303093,7.0057478,7.21692038,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.673,74.942,75.209,75.486,75.787,76.125,76.51,76.952,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,14214.4836839343,13573.2339887597,13501.4708801425,14486.0269029822,15963.9493171617,17966.1657837625,19267.282615072,20908.4042548073,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.33542562,3.48573017,3.67866111,3.88658071,3.49817729,3.25870824,3.10821271,3.29534078,4.86051178,4.51235676,4.12745667,3.95980334,4.7196188,4.49223804,3.83745313,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.049,62.836,63.591,64.288,64.912,65.509,66.048,66.458,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,396.670730249751,394.65641001891,393.886422327628,426.74880754362,455.614016909798,480.08585075452,490.388026533289,537.955492792911,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,1.80504513,1.77201855,1.93417108,1.96152198,1.99854314,2.05873919,2.10646582,2.17268491,2.38938212,2.36720181,2.31622243,2.25762248,2.27063942,2.36551309,2.39038587,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.58,74.707,74.82,74.865,75.15,74.96,75.049,75.263,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,11674.6736471764,11639.5160522054,11760.4524736133,12075.9587020649,12886.3665272467,14214.4202213572,15619.6005955511,17235.4396434785,20295.5672072046,20284.5762052461,21381.2426303209,21912.1501242857,19194.4919736739,21079.6145271791,24387.0387293761,25583.878782727
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.33187246,5.52529192,5.86123466,6.69148111,7.31297731,6.77536297,6.58370161,6.05665207,6.83311653,6.64785957,6.43943882,6.12043858,7.27405739,7.93866014,6.29389191,..
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.9560975609756,68.8512195121951,69.4048780487805,70.2073170731707,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.1385609756098,72.0714634146342,74.1033658536585,74.1837804878049
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1276.2880341,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.28088045,5.7064805,5.62404203,5.77103186,5.73650646,6.07036304,5.57366323,5.6917243,5.91054153,5.75974846,5.52699471,5.86133814,6.40607214,6.56549978,6.65919876,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.7219512195122,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439,81.7487804878049,82.3975609756098
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50605.7496677086,55291.4754541329
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.99917603,8.14988899,8.3182106,9.16443443,9.32808685,9.22216892,9.12786484,9.13448715,10.79323006,10.80117512,10.86121368,10.75969219,11.26481915,11.04724503,10.76192474,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.911,68.944,69.528,69.819,70.152,70.335,70.535,70.652,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4726.50675459616,4718.77715104739,4858.86062599362,4959.74012434605,5153.71308265363,5270.41479135312,5524.78167834986,5762.21023302938,6140.86713919469,6071.85451846453,6011.99036888587,6171.61449761423,5238.54078175696,6142.98930557031,7068.21728043145,7424.75821321022
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.09182477,3.58663416,3.69127417,3.64453149,3.53016114,3.55393219,3.56430817,4.07201815,4.78280401,4.63350248,4.76723623,4.84424496,5.35447645,5.05842113,4.23173904,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.594,56.654,56.851,57.092,57.346,57.738,57.966,58.249,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,487.424141384242,492.401499509072,546.463829658159,676.002878084282,758.695803786371,779.437777753268,809.147072506221,912.338247188342,1010.5338961993,1054.97408066814,1151.7409703472,1130.82135339795,1200.19426557789,1318.65158075198,1266.42711031904,1394.17784721831
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.9591713,3.30417323,3.09589195,3.11678505,3.23273873,3.22345805,3.28773856,2.93715644,2.79549599,2.66813827,2.88632035,2.50914454,2.7123611,2.58129549,2.67981386,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.251,78.637,78.841,78.715,78.898,78.874,78.87,79.006,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,56542.9569455727,59490.2452034202,63358.5658652763,67106.8028083224,71692.1589001679,77628.103522508,97781.4558996721,107395.651483891,108747.356144305,112339.425587467,113204.82210838,115798.040775578,106976.546239632,112765.08167306,121613.939983629,132604.439086216
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.842,63.323,63.984,64.662,65.29,65.875,66.499,67.152,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,771.924911410619,812.238210772056,895.799489930972,1022.38240311018,1130.35934606796,1299.94938578359,1405.6071618158,1850.41570433398,3152.30905106786,3435.28804735662,3400.20417245342,3576.87987100503,3191.66906999331,3570.61257980872,3711.32767981591,3831.32535494609
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.13867903,4.60037947,3.95161104,3.83481455,4.26397753,3.83308983,4.08523893,3.83774948,3.32710075,3.1345315,3.06896734,3.37511158,4.08451509,3.0729053,4.38545895,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.057,62.538,63.068,63.455,63.819,64.182,64.529,64.939,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,975.777060358751,930.168227214313,888.221328974352,893.013760211149,953.191893246277,1020.12326200737,1202.71150446327,1354.54905949929,3035.87347732132,4048.40119739839,4206.8552936661,4203.15492855788,3580.96761778303,4010.76053686204,4219.46113742445,4274.70820547613
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.39554119,4.82522202,4.89645052,5.19709635,4.86315727,5.07408142,4.66087532,4.6968894,6.83333063,6.4901948,6.60399437,6.88792992,8.0225811,8.159729,8.43142891,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.292,75.573,75.994,76.449,76.489,76.424,76.028,76.162,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,1338.48059636261,1387.89362942121,1606.5467454132,2033.94700935864,2452.6860917386,2739.61076866057,3166.12865344833,3931.48948737505,4928.5665903114,5345.01978766473,6047.84707207392,6122.37541352353,6130.31187968266,7295.34378682258,7655.59421024383,8663.02326458629
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.98265457,7.59561539,7.41844416,8.30198193,9.06270218,9.05223751,9.17218685,9.5306015,9.13943481,8.81797314,8.76100445,8.92544365,9.70311832,9.55514336,8.71644783,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.263,52.21,52.373,52.851,53.573,54.386,55.112,56.735,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,3450.81180622992,3206.07123689853,3117.25087183011,4230.12326909926,4956.69287735214,5391.07076619634,5291.58379144849,5529.12574632532,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.2974967659,7807.88794570471,8328.7090572666,7826.35376483298
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.10838556,6.3660779,6.66529799,6.40933847,6.09125996,5.26532936,4.87599421,5.52080727,5.76837635,6.62986994,6.04010344,6.12193203,6.1213398,6.30754805,5.72838593,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.584,69.98,70.396,70.884,71.361,71.832,72.296,72.73,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3766.54786339835,3176.28975052524,2855.94017137049,3090.6068907839,3663.82262497811,4827.78165890291,5934.14561857454,7409.69003822861,8836.28546025694,10080.5078722821,9300.66072904004,9029.83304401079,7074.19407495707,7972.53696080695,9281.33282136864,10377.5897719195
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.33457184,8.54963303,8.69686985,8.18899441,8.12491989,8.03539562,8.24952507,8.20182991,9.16901684,9.47125053,9.46475029,9.61449146,9.62326527,9.63646507,9.14277458,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.753,74.831,74.971,75.183,75.404,75.569,75.745,75.893,76.624,75.67,76.728,76.845,76.894,75.297,77.177,77.276
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.017,74.209,74.365,74.509,74.603,74.683,74.753,74.793,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,20130.2572346624,18287.8272281914,18621.2922577525,20677.9001143188,24423.0946995548,29386.2703822862,34674.7995236452,36217.3290706015,26663.2972950602,28024.3824580252,30988.1190267227,30426.5730656528,26834.3592233943,31006.9636289785,36632.9280952155,32890.5491812019
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.5479064,2.5465107,2.53447938,2.60260582,2.55193377,2.23386168,1.9072516,1.94145441,2.54828691,2.27022862,2.41289377,2.2277422,2.45178461,2.14642429,1.81768215,..
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.6634146341463,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.6634146341463,74.8121951219512,74.8146341463415,74.9634146341464,75.1121951219512,73.3560975609756,71.2121951219512,74.1609756097561,75.7073170731707
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,1621.26210738992,1770.90704918691,2092.98288625558,2719.49436859287,3389.68743360274,3899.82596332878,4523.1465578805,5888.57081403932,7822.49923292968,8696.68930427924,9849.38397225174,10353.7204584127,10760.211975413,12966.1457543396,13999.1949530956,15853.208636704
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.82970953,6.85958815,7.0809865,7.19987392,6.89090872,6.89011478,6.52544546,6.15651751,7.45975018,7.49624491,7.33192015,7.09237671,8.48235893,8.61892796,7.66357517,..
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.808,51.188,51.447,51.959,52.6,53.271,53.784,54.377,59.173,59.578,59.972,60.184,60.454,60.046,60.7,61.092
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,248.908526921752,259.485223380436,285.654087637533,362.373899996953,403.81283743461,441.164148016012,455.513655620024,514.684451177238,663.742364842886,709.091535894695,777.465618514048,764.853077774946,825.237038782475,895.535288442991,827.330843486661,873.482589651003
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.9502635,2.88835382,2.97113013,3.14307284,4.21720934,3.95109582,4.51446247,5.23373222,5.95486307,6.05965996,4.9995389,5.36802721,6.57714844,6.40747881,6.77182007,..
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.617,48.509,49.924,50.997,52.217,53.053,53.962,54.832,60.789,61.345,61.806,62.18,62.569,62.101,62.882,63.651
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,134.537861752389,132.159554541932,120.952308575468,111.406682804391,125.194965184533,147.234619294225,161.892755640319,166.162744906755,232.937812100153,246.060725714184,245.661678332009,234.31061590725,255.8324539389,264.980379269655,302.992505263552,250.627253097255
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.22181606,5.68180418,5.34983587,5.27245188,7.09572744,7.56016588,8.71264839,9.1855402,7.06148243,6.95275736,7.29396152,9.05010796,10.71837234,8.99484253,8.39522648,..
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.117,68.707,69.447,70.006,70.499,70.936,71.341,71.487,74.35,74.71,74.84,75.449,73.818,74.424,75.907,76.059
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,1189.51479345891,1223.33055331575,1328.57874270666,1717.97565369655,1929.49081468781,2004.14680417563,2256.99666191075,3324.57675212498,3608.96605234906,3893.09571382506,4294.96510035729,4380.78117331128,3539.22661248299,3971.44409203423,4323.31362032709,4794.90121917259
Cabo Verde,CPV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.43401194,4.75244379,4.7555151,4.85960436,4.75073719,4.47569275,5.12305117,5.14727354,4.36134005,4.74573231,4.76032305,4.47111464,6.63319778,7.316607,6.67440224,..
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.491,60.457,61.395,62.345,63.256,64.113,64.886,65.549,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,296.426687526334,327.500984314444,350.147276634294,386.691123931778,444.199067529081,525.797325120926,612.252648550727,731.692295125426,1675.19555711109,1826.35391688754,2036.67377566578,2225.87705485686,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838
Cambodia,KHM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.48248434,6.76128578,6.92060709,6.45833635,6.4859705,6.15047693,5.3646059,4.20612955,4.49053288,4.26933241,4.49707794,5.05801058,5.28458023,5.51976061,4.71089554,..
